Name,Shirt Number,Image
Carson,33,resources/players/Carson.png
Ederson,31,resources/players/Ederson.png
Ortega,18,resources/players/Ortega.png
Akanji,25,resources/players/Akanji.png
Aké,6,resources/players/Aké.png
Cancelo,7,resources/players/Cancelo.png
Dias,3,resources/players/Dias.png
Gomez,21,resources/players/Gomez.png
Gvardiol,24,resources/players/Gvardiol.png
Laporte,14,resources/players/Laporte.png
Lewis,82,resources/players/Lewis.png
Stones,5,resources/players/Stones.png
Walker,2,resources/players/Walker.png
De Bruyne,17,resources/players/De Bruyne.png
Foden,47,resources/players/Foden.png
Grealish,10,resources/players/Grealish.png
Kovacic,8,resources/players/Kovacic.png
Palmer,80,resources/players/Palmer.png
Perrone,32,resources/players/Perrone.png
Phillips,4,resources/players/Phillips.png
Rodri,16,resources/players/Rodri.png
Bernardo,20,resources/players/Bernardo.png
Alvarez,19,resources/players/Alvarez.png
Haaland,9,resources/players/Haaland.png
